"","Open","High","Low","Close","Volume (BTC)","Volume (Currency)","Weighted Price"
"190",11.73507,11.99014,11.73507,11.99014,48.29761599,576.353855732,11.9333810566
"191",11.51452,11.86035,11.49119,11.74686,135.862464,1580.13187313,11.6303784475
"192",11.44898,11.73,11.40475,11.73,61.23371,711.89626627,11.6258881957
"193",11.73,12.0588,11.73,12.0588,146.751,1729.78694949,11.7872242744
"194",12.6424,12.66216,12.2,12.2,22.3073,273.627766568,12.2662880119
"195",12.2,12.37162,12.2,12.37162,2.63,32.103162,12.2065254753
"196",12.20246,12.20246,12.2,12.2,5.02466,61.3101262,12.2018457368
"197",12.61836,12.61836,12.2,12.2,63.63402228,778.982710888,12.2416072877
"198",12.12274,12.43044,11.7982,12.11845,64.9447,776.152721583,11.9509786262
"199",12.20893,12.39785,11.90625,12.34273,27.13,329.1310309,12.1316266458
"200",11.88329,12.5,0.75244,12.5,19.875812,233.9120328,11.7686780696
"201",12,12,12,12,2.6,31.2,12
"202",12.5,13.11926,12.49998,13.11926,20.027559,251.886454825,12.5769922748
"203",12.67024,13.05,12.36844,12.49091,20.40381194,258.194502899,12.6542287127
"204",12.68569,12.68569,12.68569,12.68569,20.2,256.250938,12.68569
"205",12.8,13.23493,12.8,13.23493,5.02,65.8949409868,13.1264822683
"206",13.52277,13.52277,13.07903,13.07903,20.3966,270.072731298,13.2410662217
"207",13.45408,13.71658,12.16174,13.71658,140.77939862,1890.9384103,13.4319256144
"208",13.1123,13.70428,10.45928,13.49999,98.74969,1288.50966538,13.0482401047
"209",13.57436,13.57436,12.4911,13.34373,63.11063,815.239768299,12.9176300141
"210",13.37424,13.39171,3.39568,13.25517,63.41721623,764.640392758,12.0572998661
"211",13.21784,13.47067,13.21784,13.47067,9.42782,126.872630441,13.45726058
"212",13.47125,13.56115,13.47125,13.56115,30.25919,410.124664468,13.5537225044
"213",13.64999,13.64999,13.25,13.25,4.702512,62.3612874749,13.2612713109
"214",13.25,13.65,13.25,13.64999,97.554493,1293.44682442,13.2587109486
"215",0,0,0,0,0,0,0
"216",0,0,0,0,0,0,0
"217",0,0,0,0,0,0,0
"218",13.24795,13.33727,13.24795,13.33727,37.0010085,493.330282837,13.3328874762
"219",13.33727,13.437,13.33726,13.41998,28.44404761,380.416392288,13.3742003777
"220",12.566,13.41998,12.566,13.30401,47.3789,629.693642118,13.2905922704
"221",12.4616,12.4616,12.4616,12.4616,26.405,329.048548,12.4616
"222",13.77974,13.77974,13.67058,13.67058,10.7,146.613612,13.702206729
"223",13.29676,13.52862,13.29676,13.52862,2.27,30.6682326,13.5102346256
"224",0,0,0,0,0,0,0
"225",13.44773,13.45034,13.44773,13.45034,3.91,52.5832343,13.4483975192
"226",12.52862,12.52862,12.52862,12.52862,0.402,5.03650524,12.52862
"227",12.52862,13.45034,12.52862,13.45034,9.048,120.82488576,13.3537672149
"228",13.45035,13.45035,13.45035,13.45035,11.8998,160.05647493,13.45035
"229",13.4,13.40495,13.30001,13.40495,23.44481,312.551381448,13.3313676438
"230",13.48,13.49999,13.48,13.49999,7.25942825,98.0000098807,13.4996870974
"231",13.42567,13.49999,13.42567,13.49999,17.677434,237.624959331,13.4422767089
"232",13.5,13.5,13.5,13.5,3.2333,43.64955,13.5
"233",13.49999,13.5,13.49999,13.5,40.3,544.049687,13.4999922333
"234",13.07477,13.36816,13.07477,13.36816,18.6434,249.081259144,13.3602915318
"235",13.21701,13.21701,13.21701,13.21701,0.5,6.608505,13.21701
"236",13.009,13.36816,10.28299,10.28299,46.64316,587.005806542,12.5850351165
"237",13.12568,13.29743,13.12568,13.29743,3.489963,45.9767622151,13.1739970352
"238",13.11111,13.11111,13.11111,13.11111,4,52.44444,13.11111
"239",13.34999,13.34999,13.34999,13.34999,8.7194,116.403902806,13.34999
"240",13.34999,13.68841,10.43999,13.25117,262.94724491,3204.4380664,12.1866196677
"241",0,0,0,0,0,0,0
"242",0.8601,13.5,0.8601,13.5,6.9015,77.401217985,11.2151297522
"243",13.9802,14,13.9802,14,5.1,71.30298,13.9809764706
"244",0,0,0,0,0,0,0
"245",0,0,0,0,0,0,0
"246",14,14,13.66978,13.66978,10.7395,147.07251511,13.6945402589
"247",14.1,14.28498,13.5,14.28498,5.765522,81.3658284424,14.1124825198
"248",14.67452,14.67998,14.67452,14.67998,9.9,145.304502,14.6772224242
"249",14.98997,15.50159,14.98997,15.50159,15.25,230.779012062,15.1330499713
"250",15.82605,15.82605,15.82605,15.82605,8,126.6084,15.82605
"251",15.00555,15.6,15.00555,15.6,107.612636,1618.0393944,15.0357751147
"252",0,0,0,0,0,0,0
"253",16,16.92423,16,16.92423,9.284,152.83000227,16.4616547038
"254",16.95857,17.99998,16.8579,17.99998,111.94387,1901.84529078,16.9892758825
"255",17.455,17.5,17,17.5,43.1137413,749.07219274,17.3743259145
"256",18.04974,19,16.52,17.2845,67.87021363,1219.88039427,17.9737226248
"257",16.52,17.08715,16,16.82396,61.392687,1040.19589294,16.943319209
"258",17.2,17.36858,16.6,17.26999,30.12238,518.140350643,17.2011756921
"259",17.50326,17.76467,17.39327,17.50225,13.42721836,234.986383282,17.500749372
"260",17.87592,18,17.45351,18,119.773,2137.50259999,17.8462808812
"261",16.83827,19.71905,16.83827,18.54,68.49148,1280.82792718,18.7005438805
"262",19.19964,19.9,18.64497,19.73815,35.32114941,676.914554904,19.1645675809
"263",19.8,21.30736,19,21.30736,128.83769944,2521.02920762,19.5674807807
"264",20.73737,21.02314,0.15,20.60649,226.79385823,3844.50776819,16.9515515023
"265",20.60996,21.5,19.50701,19.52001,8.48480095,170.976291659,20.150890123
"266",19.97332,19.97332,19.97332,19.97332,0.67,13.3821244,19.97332
"267",20.67901,20.67901,20.00001,20.00001,14.15610761,289.234015845,20.4317474699
"268",21.5,21.5,20.00001,20.00001,25.35365681,521.857363471,20.5831201149
"269",20.00001,20.99997,20,20.94842,154.75601288,3104.89222656,20.0631443572
"270",20.94842,21.5966,20.94842,21.5966,53.26185627,1121.58535512,21.0579471627
"271",21.99997,22.94803,21.99997,22.82806,12.1658097,276.982170945,22.767261512
"272",22.24883,24.55827,22.24883,23.55916,29.68171083,685.214334394,23.0854056331
"273",23.29174,23.55644,0.15003,23.44725,11.73212131,218.370893684,18.6130783951
"274",23.95326,24.5,23.43502,24.5,14.3572552,346.790880746,24.1543997035
"275",24.52153,25.73283,24.52153,25.73283,42.69536004,1091.31641447,25.5605389777
"276",24.75299,26.09,24.50003,24.50003,60.51114286,1501.10378389,24.8070638389
